in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
8,0,0,14,14,3706.697618,1726,1726,1127,1127,665,665,22.290199,19.903422
4,1,0,14,14,3053.835363,2167,2167,1510,1510,764,764,22.60679,21.379471
5,1,0,14,14,3203.339515,1958,1958,1325,1325,747,747,23.151628,21.641621
6,1,0,14,14,3420.329841,1870,1870,1243,1243,728,728,22.603675,20.845337
7,1,0,14,14,3587.228121,1799,1799,1183,1183,708,708,22.518232,20.482075
8,1,0,14,14,3728.859339,1748,1748,1144,1144,697,697,22.524749,20.258769
4,2,0,14,14,3005.956342,2121,2121,1474,1474,741,741,22.608935,21.355304
5,2,0,14,14,3203.620339,1936,1936,1305,1305,716,716,22.766292,21.210969
6,2,0,14,14,3396.456865,1847,1847,1225,1225,691,691,22.337512,20.551179
7,2,0,14,14,3562.968875,1778,1778,1169,1169,672,672,22.214281,20.149907
8,2,0,14,14,3708.165197,1730,1730,1130,1130,658,658,22.215609,19.867451
4,3,0,14,14,3004.47982,2095,2095,1446,1446,748,748,22.640434,21.259977
5,3,0,14,14,3187.413382,1914,1914,1282,1282,732,732,23.050716,21.33947
6,3,0,14,14,3389.192763,1832,1832,1207,1207,713,713,22.696591,20.708124
7,3,0,14,14,3555.095013,1766,1766,1154,1154,687,687,22.569506,20.332901
8,3,0,14,14,3710.054581,1731,1731,1128,1128,674,674,22.587643,20.109754
4,0,1,14,14,3147.511389,2135,2135,1462,1462,809,809,22.906888,21.685851
5,0,1,14,14,3270.341607,1956,1956,1307,1307,810,810,23.595086,22.084469
6,0,1,14,14,3444.930971,1870,1870,1230,1230,800,800,23.276354,21.512588
7,0,1,14,14,3634.715267,1802,1802,1175,1175,773,773,23.064176,21.021528
8,0,1,14,14,3789.901931,1753,1753,1138,1138,756,756,22.955792,20.669932
4,1,1,14,14,3120.472275,2191,2191,1511,1511,839,839,23.27855,22.13146
5,1,1,14,14,3285.37384,1987,1987,1336,1336,826,826,23.76879,22.370619
6,1,1,14,14,3470.384736,1894,1894,1252,1252,807,807,23.401875,21.718703
7,1,1,14,14,3637.62719,1831,1831,1200,1200,805,805,23.220854,21.27794
8,1,1,14,14,3791.414374,1774,1774,1153,1153,777,777,23.056837,20.883465
4,2,1,14,14,3128.679735,2180,2180,1503,1503,834,834,23.261067,22.173012
5,2,1,14,14,3316.141861,1991,1991,1339,1339,820,820,23.668805,22.321259
6,2,1,14,14,3484.14297,1893,1893,1250,1250,810,810,23.341924,21.716371
7,2,1,14,14,3673.567082,1826,1826,1196,1196,794,794,23.041723,21.20263
8,2,1,14,14,3807.521673,1775,1775,1154,1154,779,779,22.965678,20.879492
4,3,1,14,14,3097.70079,2135,2135,1461,1461,830,830,23.406228,22.171755
5,3,1,14,14,3285.313512,1960,1960,1309,1309,810,810,23.69683,22.176927
6,3,1,14,14,3458.216555,1871,1871,1230,1230,797,797,23.354808,21.54783
